Gene	ENSG ID	Disease	Class	Control	logFC	p-value adjusted
AARSD1	ENSG00000266967	Schizophrenia	Psychiatric	All other diseases	0.020	8.83E-1
AARSD1	ENSG00000266967	Schizophrenia	Psychiatric	Class	-0.018	9.78E-1
AARSD1	ENSG00000266967	Schizophrenia	Psychiatric	Healthy	0.530	3.18E-6
AARSD1	ENSG00000266967	Pediatric systemic inflammatory disease	Pediatric	All other diseases	-2.139	1.16E-27
AARSD1	ENSG00000266967	Pediatric systemic inflammatory disease	Pediatric	Class	-2.849	3.43E-19
AARSD1	ENSG00000266967	Pediatric systemic inflammatory disease	Pediatric	Healthy	-1.558	7.83E-9
AARSD1	ENSG00000266967	Pediatric lymphoma	Pediatric	All other diseases	0.460	5.60E-1
AARSD1	ENSG00000266967	Pediatric lymphoma	Pediatric	Class	0.656	5.73E-1
AARSD1	ENSG00000266967	Pediatric lymphoma	Pediatric	Healthy	0.762	1.86E-1
AARSD1	ENSG00000266967	Pediatric sarcoma	Pediatric	All other diseases	0.715	2.87E-1
AARSD1	ENSG00000266967	Pediatric sarcoma	Pediatric	Class	0.497	8.31E-1
AARSD1	ENSG00000266967	Pediatric sarcoma	Pediatric	Healthy	0.619	2.35E-1
AARSD1	ENSG00000266967	Bipolar disorder	Psychiatric	All other diseases	0.001	9.94E-1
AARSD1	ENSG00000266967	Bipolar disorder	Psychiatric	Class	0.035	9.79E-1
AARSD1	ENSG00000266967	Bipolar disorder	Psychiatric	Healthy	0.265	3.17E-1
AARSD1	ENSG00000266967	Pediatric neuroblastoma	Pediatric	All other diseases	1.230	9.41E-4
AARSD1	ENSG00000266967	Pediatric neuroblastoma	Pediatric	Class	0.890	2.00E-1
AARSD1	ENSG00000266967	Pediatric neuroblastoma	Pediatric	Healthy	2.063	3.13E-3
AARSD1	ENSG00000266967	Pediatric retinoblastoma	Pediatric	All other diseases	0.475	4.64E-1
AARSD1	ENSG00000266967	Pediatric retinoblastoma	Pediatric	Class	-0.205	8.52E-1
AARSD1	ENSG00000266967	Pediatric retinoblastoma	Pediatric	Healthy	1.283	6.66E-3
AARSD1	ENSG00000266967	Pediatric long COVID	Pediatric	All other diseases	0.224	5.82E-1
AARSD1	ENSG00000266967	Pediatric long COVID	Pediatric	Class	-0.026	9.68E-1
AARSD1	ENSG00000266967	Pediatric long COVID	Pediatric	Healthy	1.260	4.14E-2
AARSD1	ENSG00000266967	Pediatric CNS tumor	Pediatric	All other diseases	1.464	1.30E-4
AARSD1	ENSG00000266967	Pediatric CNS tumor	Pediatric	Class	1.334	5.12E-2
AARSD1	ENSG00000266967	Pediatric CNS tumor	Pediatric	Healthy	2.208	4.40E-5
AARSD1	ENSG00000266967	Type 2 diabetes	Metabolic	All other diseases	-0.288	4.14E-2
AARSD1	ENSG00000266967	Type 2 diabetes	Metabolic	Class	-0.306	1.77E-2
AARSD1	ENSG00000266967	Type 2 diabetes	Metabolic	Healthy	0.173	5.18E-2
AARSD1	ENSG00000266967	Pediatric bone tumor	Pediatric	All other diseases	-0.077	9.50E-1
AARSD1	ENSG00000266967	Pediatric bone tumor	Pediatric	Class	-0.111	9.44E-1
AARSD1	ENSG00000266967	Pediatric bone tumor	Pediatric	Healthy	0.356	4.44E-1
AARSD1	ENSG00000266967	Pediatric kidney tumor	Pediatric	All other diseases	0.974	7.06E-2
AARSD1	ENSG00000266967	Pediatric kidney tumor	Pediatric	Class	0.622	6.19E-1
AARSD1	ENSG00000266967	Pediatric kidney tumor	Pediatric	Healthy	1.424	7.36E-3
AARSD1	ENSG00000266967	Viral hepatitis related cirrhosis	Metabolic	All other diseases	0.563	2.25E-5
AARSD1	ENSG00000266967	Viral hepatitis related cirrhosis	Metabolic	Class	0.557	2.77E-6
AARSD1	ENSG00000266967	Viral hepatitis related cirrhosis	Metabolic	Healthy	0.980	3.86E-11
AARSD1	ENSG00000266967	Pediatric diffuse astrocytic and oligodendro. tumor	Pediatric	All other diseases	0.765	2.28E-2
AARSD1	ENSG00000266967	Pediatric diffuse astrocytic and oligodendro. tumor	Pediatric	Class	0.686	3.20E-1
AARSD1	ENSG00000266967	Pediatric diffuse astrocytic and oligodendro. tumor	Pediatric	Healthy	1.073	5.73E-3
AARSD1	ENSG00000266967	Previous venous thromboembolism	Cardiovascular	All other diseases	-0.702	1.63E-9
AARSD1	ENSG00000266967	Previous venous thromboembolism	Cardiovascular	Class	-0.147	2.31E-1
AARSD1	ENSG00000266967	Previous venous thromboembolism	Cardiovascular	Healthy	-0.267	2.84E-3
AARSD1	ENSG00000266967	Abdominal aortic aneurysm	Cardiovascular	All other diseases	-0.519	1.38E-5
AARSD1	ENSG00000266967	Abdominal aortic aneurysm	Cardiovascular	Class	0.052	7.48E-1
AARSD1	ENSG00000266967	Abdominal aortic aneurysm	Cardiovascular	Healthy	0.020	9.30E-1
AARSD1	ENSG00000266967	Acute coronary syndrome	Cardiovascular	All other diseases	-1.454	4.91E-20
AARSD1	ENSG00000266967	Acute coronary syndrome	Cardiovascular	Class	-0.966	4.07E-12
AARSD1	ENSG00000266967	Acute coronary syndrome	Cardiovascular	Healthy	-1.098	1.33E-8
AARSD1	ENSG00000266967	Pituitary neuroendocrine tumor	Cancer	All other diseases	-0.087	7.06E-1
AARSD1	ENSG00000266967	Pituitary neuroendocrine tumor	Cancer	Class	-0.284	1.47E-1
AARSD1	ENSG00000266967	Pituitary neuroendocrine tumor	Cancer	Healthy	0.406	3.14E-2
AARSD1	ENSG00000266967	Small intestine neuroendocrine tumor	Cancer	All other diseases	0.044	8.45E-1
AARSD1	ENSG00000266967	Small intestine neuroendocrine tumor	Cancer	Class	-0.154	5.05E-1
AARSD1	ENSG00000266967	Small intestine neuroendocrine tumor	Cancer	Healthy	0.562	8.48E-4
AARSD1	ENSG00000266967	Coronary artery calcification	Cardiovascular	All other diseases	-0.356	4.85E-8
AARSD1	ENSG00000266967	Coronary artery calcification	Cardiovascular	Class	0.313	1.05E-6
AARSD1	ENSG00000266967	Coronary artery calcification	Cardiovascular	Healthy	0.079	1.50E-1
AARSD1	ENSG00000266967	Prostate cancer	Cancer	All other diseases	0.416	2.05E-6
AARSD1	ENSG00000266967	Prostate cancer	Cancer	Class	0.206	2.53E-2
AARSD1	ENSG00000266967	Prostate cancer	Cancer	Healthy	0.786	2.41E-18
AARSD1	ENSG00000266967	Acute venous thromboembolism	Cardiovascular	All other diseases	-0.269	2.09E-1
AARSD1	ENSG00000266967	Acute venous thromboembolism	Cardiovascular	Class	0.495	2.63E-3
AARSD1	ENSG00000266967	Acute venous thromboembolism	Cardiovascular	Healthy	0.294	4.65E-2
AARSD1	ENSG00000266967	Acute myeloid leukemia	Cancer	All other diseases	0.527	3.04E-3
AARSD1	ENSG00000266967	Acute myeloid leukemia	Cancer	Class	0.359	2.13E-2
AARSD1	ENSG00000266967	Acute myeloid leukemia	Cancer	Healthy	1.025	1.41E-5
AARSD1	ENSG00000266967	Sjögrens syndrome	Autoimmune	All other diseases	0.039	8.23E-1
AARSD1	ENSG00000266967	Sjögrens syndrome	Autoimmune	Class	0.405	1.53E-3
AARSD1	ENSG00000266967	Sjögrens syndrome	Autoimmune	Healthy	0.580	1.42E-7
AARSD1	ENSG00000266967	Multiple sclerosis	Autoimmune	All other diseases	-0.728	2.01E-24
AARSD1	ENSG00000266967	Multiple sclerosis	Autoimmune	Class	-0.571	1.13E-11
AARSD1	ENSG00000266967	Multiple sclerosis	Autoimmune	Healthy	-0.353	3.47E-4
AARSD1	ENSG00000266967	Rheumatoid arthritis	Autoimmune	All other diseases	-0.068	6.95E-1
AARSD1	ENSG00000266967	Rheumatoid arthritis	Autoimmune	Class	0.228	1.37E-1
AARSD1	ENSG00000266967	Rheumatoid arthritis	Autoimmune	Healthy	0.281	1.44E-2
AARSD1	ENSG00000266967	Systemic sclerosis	Autoimmune	All other diseases	-0.308	1.25E-2
AARSD1	ENSG00000266967	Systemic sclerosis	Autoimmune	Class	-0.041	8.25E-1
AARSD1	ENSG00000266967	Systemic sclerosis	Autoimmune	Healthy	0.176	9.24E-2
AARSD1	ENSG00000266967	Myositis	Autoimmune	All other diseases	-0.041	6.22E-1
AARSD1	ENSG00000266967	Myositis	Autoimmune	Class	0.263	2.51E-3
AARSD1	ENSG00000266967	Myositis	Autoimmune	Healthy	0.384	6.96E-7
AARSD1	ENSG00000266967	Systemic lupus erythematosus	Autoimmune	All other diseases	-0.463	1.18E-4
AARSD1	ENSG00000266967	Systemic lupus erythematosus	Autoimmune	Class	-0.109	4.35E-1
AARSD1	ENSG00000266967	Systemic lupus erythematosus	Autoimmune	Healthy	0.314	3.89E-2
AARSD1	ENSG00000266967	Pancreatic cancer	Cancer	All other diseases	-0.010	9.57E-1
AARSD1	ENSG00000266967	Pancreatic cancer	Cancer	Class	-0.208	1.11E-1
AARSD1	ENSG00000266967	Pancreatic cancer	Cancer	Healthy	0.355	2.59E-2
AARSD1	ENSG00000266967	Meningioma	Cancer	All other diseases	0.283	1.27E-1
AARSD1	ENSG00000266967	Meningioma	Cancer	Class	0.108	5.69E-1
AARSD1	ENSG00000266967	Meningioma	Cancer	Healthy	0.740	4.95E-5
AARSD1	ENSG00000266967	Hepatocellular cancer	Cancer	All other diseases	0.797	4.29E-10
AARSD1	ENSG00000266967	Hepatocellular cancer	Cancer	Class	0.646	3.59E-8
AARSD1	ENSG00000266967	Hepatocellular cancer	Cancer	Healthy	1.168	2.96E-12
AARSD1	ENSG00000266967	Melanoma	Cancer	All other diseases	-0.507	2.21E-5
AARSD1	ENSG00000266967	Melanoma	Cancer	Class	-0.738	2.30E-12
AARSD1	ENSG00000266967	Melanoma	Cancer	Healthy	-0.052	7.44E-1
AARSD1	ENSG00000266967	Ovarian cancer	Cancer	All other diseases	0.305	7.10E-4
AARSD1	ENSG00000266967	Ovarian cancer	Cancer	Class	0.134	1.36E-1
AARSD1	ENSG00000266967	Ovarian cancer	Cancer	Healthy	0.756	1.97E-18
AARSD1	ENSG00000266967	Lung cancer	Cancer	All other diseases	0.142	4.01E-2
AARSD1	ENSG00000266967	Lung cancer	Cancer	Class	-0.050	5.23E-1
AARSD1	ENSG00000266967	Lung cancer	Cancer	Healthy	0.614	1.28E-20
AARSD1	ENSG00000266967	Myeloma	Cancer	All other diseases	0.435	5.68E-2
AARSD1	ENSG00000266967	Myeloma	Cancer	Class	0.272	1.78E-1
AARSD1	ENSG00000266967	Myeloma	Cancer	Healthy	0.841	9.02E-5
AARSD1	ENSG00000266967	Obesity	Metabolic	All other diseases	-0.290	3.60E-5
AARSD1	ENSG00000266967	Obesity	Metabolic	Class	-0.270	3.15E-5
AARSD1	ENSG00000266967	Obesity	Metabolic	Healthy	0.135	1.09E-2
AARSD1	ENSG00000266967	Chronic liver disease	Metabolic	All other diseases	1.031	1.72E-7
AARSD1	ENSG00000266967	Chronic liver disease	Metabolic	Class	1.091	4.62E-10
AARSD1	ENSG00000266967	Chronic liver disease	Metabolic	Healthy	1.466	5.98E-8
AARSD1	ENSG00000266967	Pneumococcal pneumonia	Infection	All other diseases	0.308	4.14E-2
AARSD1	ENSG00000266967	Pneumococcal pneumonia	Infection	Class	0.127	6.75E-1
AARSD1	ENSG00000266967	Pneumococcal pneumonia	Infection	Healthy	0.717	1.05E-3
AARSD1	ENSG00000266967	Streptococcal soft tissue infection	Infection	All other diseases	-0.939	2.43E-13
AARSD1	ENSG00000266967	Streptococcal soft tissue infection	Infection	Class	-1.236	6.53E-15
AARSD1	ENSG00000266967	Streptococcal soft tissue infection	Infection	Healthy	-0.487	1.02E-4
AARSD1	ENSG00000266967	Alcohol-related liver disease	Metabolic	All other diseases	0.122	7.97E-1
AARSD1	ENSG00000266967	Alcohol-related liver disease	Metabolic	Class	0.123	6.98E-1
AARSD1	ENSG00000266967	Alcohol-related liver disease	Metabolic	Healthy	0.573	1.89E-2
AARSD1	ENSG00000266967	Metabolic syndrome	Metabolic	All other diseases	-0.336	3.56E-9
AARSD1	ENSG00000266967	Metabolic syndrome	Metabolic	Class	-0.338	7.89E-10
AARSD1	ENSG00000266967	Metabolic syndrome	Metabolic	Healthy	0.122	1.79E-3
AARSD1	ENSG00000266967	Staphylococcus aureus bacteremia	Infection	All other diseases	0.625	1.13E-2
AARSD1	ENSG00000266967	Staphylococcus aureus bacteremia	Infection	Class	0.467	1.66E-1
AARSD1	ENSG00000266967	Staphylococcus aureus bacteremia	Infection	Healthy	1.097	2.31E-3
AARSD1	ENSG00000266967	MASLD	Metabolic	All other diseases	0.142	2.67E-1
AARSD1	ENSG00000266967	MASLD	Metabolic	Class	0.098	4.44E-1
AARSD1	ENSG00000266967	MASLD	Metabolic	Healthy	0.537	1.34E-5
AARSD1	ENSG00000266967	Glioma	Cancer	All other diseases	0.314	3.56E-4
AARSD1	ENSG00000266967	Glioma	Cancer	Class	0.123	1.56E-1
AARSD1	ENSG00000266967	Glioma	Cancer	Healthy	0.782	5.07E-22
AARSD1	ENSG00000266967	Chronic lymphocytic leukemia	Cancer	All other diseases	0.935	6.31E-8
AARSD1	ENSG00000266967	Chronic lymphocytic leukemia	Cancer	Class	0.807	1.87E-7
AARSD1	ENSG00000266967	Chronic lymphocytic leukemia	Cancer	Healthy	1.321	3.50E-8
AARSD1	ENSG00000266967	Breast cancer	Cancer	All other diseases	0.054	6.25E-1
AARSD1	ENSG00000266967	Breast cancer	Cancer	Class	-0.140	1.19E-1
AARSD1	ENSG00000266967	Breast cancer	Cancer	Healthy	0.546	5.14E-11
AARSD1	ENSG00000266967	Cervical cancer	Cancer	All other diseases	0.076	5.27E-1
AARSD1	ENSG00000266967	Cervical cancer	Cancer	Class	-0.153	3.08E-1
AARSD1	ENSG00000266967	Cervical cancer	Cancer	Healthy	0.646	1.32E-10
AARSD1	ENSG00000266967	Diffuse large B-cell lymphoma	Cancer	All other diseases	0.346	7.03E-2
AARSD1	ENSG00000266967	Diffuse large B-cell lymphoma	Cancer	Class	0.168	3.64E-1
AARSD1	ENSG00000266967	Diffuse large B-cell lymphoma	Cancer	Healthy	0.822	3.61E-8
AARSD1	ENSG00000266967	Endometrial cancer	Cancer	All other diseases	0.084	5.22E-1
AARSD1	ENSG00000266967	Endometrial cancer	Cancer	Class	-0.089	4.87E-1
AARSD1	ENSG00000266967	Endometrial cancer	Cancer	Healthy	0.531	4.48E-6
AARSD1	ENSG00000266967	Breast ductal carcinoma in situ	Cancer	All other diseases	-0.063	7.82E-1
AARSD1	ENSG00000266967	Breast ductal carcinoma in situ	Cancer	Class	-0.282	1.25E-1
AARSD1	ENSG00000266967	Breast ductal carcinoma in situ	Cancer	Healthy	0.389	2.16E-2
AARSD1	ENSG00000266967	Colorectal cancer	Cancer	All other diseases	0.022	7.81E-1
AARSD1	ENSG00000266967	Colorectal cancer	Cancer	Class	-0.186	7.03E-3
AARSD1	ENSG00000266967	Colorectal cancer	Cancer	Healthy	0.434	1.42E-10
AARSD1	ENSG00000266967	Mycoplasma pneumonia	Infection	All other diseases	-0.810	3.65E-4
AARSD1	ENSG00000266967	Mycoplasma pneumonia	Infection	Class	-0.927	2.18E-3
AARSD1	ENSG00000266967	Mycoplasma pneumonia	Infection	Healthy	-0.069	8.05E-1
AARSD1	ENSG00000266967	HIV	Infection	All other diseases	-0.469	3.69E-4
AARSD1	ENSG00000266967	HIV	Infection	Class	-0.648	5.15E-5
AARSD1	ENSG00000266967	HIV	Infection	Healthy	-0.154	3.48E-1
AARSD1	ENSG00000266967	Bacterial gastroenteritis	Infection	All other diseases	0.943	5.38E-5
AARSD1	ENSG00000266967	Bacterial gastroenteritis	Infection	Class	1.048	1.67E-3
AARSD1	ENSG00000266967	Bacterial gastroenteritis	Infection	Healthy	1.484	1.94E-7
AARSD1	ENSG00000266967	E.coli pyelonephritis	Infection	All other diseases	0.284	3.31E-2
AARSD1	ENSG00000266967	E.coli pyelonephritis	Infection	Class	0.128	5.73E-1
AARSD1	ENSG00000266967	E.coli pyelonephritis	Infection	Healthy	0.657	5.66E-5
AARSD1	ENSG00000266967	Malaria	Infection	All other diseases	0.116	4.11E-1
AARSD1	ENSG00000266967	Malaria	Infection	Class	0.039	8.66E-1
AARSD1	ENSG00000266967	Malaria	Infection	Healthy	0.710	4.79E-5
AARSD1	ENSG00000266967	Dengue fever	Infection	All other diseases	0.918	2.80E-3
AARSD1	ENSG00000266967	Dengue fever	Infection	Class	1.088	6.69E-3
AARSD1	ENSG00000266967	Dengue fever	Infection	Healthy	1.549	6.66E-6
AARSD1	ENSG00000266967	Influenza	Infection	All other diseases	0.878	1.25E-20
AARSD1	ENSG00000266967	Influenza	Infection	Class	0.871	9.03E-12
AARSD1	ENSG00000266967	Influenza	Infection	Healthy	1.334	3.04E-30
ABHD14B	ENSG00000114779	Malaria	Infection	All other diseases	0.288	10.00E-2
ABHD14B	ENSG00000114779	Malaria	Infection	Class	-0.393	8.82E-2
ABHD14B	ENSG00000114779	Malaria	Infection	Healthy	1.193	4.12E-7
ABHD14B	ENSG00000114779	Bacterial gastroenteritis	Infection	All other diseases	0.755	1.36E-2
ABHD14B	ENSG00000114779	Bacterial gastroenteritis	Infection	Class	0.439	3.33E-1
ABHD14B	ENSG00000114779	Bacterial gastroenteritis	Infection	Healthy	2.080	1.09E-11
ABHD14B	ENSG00000114779	Dengue fever	Infection	All other diseases	2.023	2.93E-8
ABHD14B	ENSG00000114779	Dengue fever	Infection	Class	1.806	5.41E-5
ABHD14B	ENSG00000114779	Dengue fever	Infection	Healthy	3.516	6.27E-10
ABHD14B	ENSG00000114779	Pneumococcal pneumonia	Infection	All other diseases	0.680	2.84E-4
ABHD14B	ENSG00000114779	Pneumococcal pneumonia	Infection	Class	-0.447	1.24E-1
ABHD14B	ENSG00000114779	Pneumococcal pneumonia	Infection	Healthy	1.513	5.84E-9
ABHD14B	ENSG00000114779	Influenza	Infection	All other diseases	2.161	3.45E-71
ABHD14B	ENSG00000114779	Influenza	Infection	Class	1.636	3.13E-26
ABHD14B	ENSG00000114779	Influenza	Infection	Healthy	3.038	2.94E-63
ABHD14B	ENSG00000114779	E.coli pyelonephritis	Infection	All other diseases	0.264	1.28E-1
ABHD14B	ENSG00000114779	E.coli pyelonephritis	Infection	Class	-0.805	3.71E-4
ABHD14B	ENSG00000114779	E.coli pyelonephritis	Infection	Healthy	0.992	1.81E-7
ABHD14B	ENSG00000114779	HIV	Infection	All other diseases	-0.219	2.30E-1
ABHD14B	ENSG00000114779	HIV	Infection	Class	-1.000	2.26E-7
ABHD14B	ENSG00000114779	HIV	Infection	Healthy	0.794	8.06E-7
ABHD14B	ENSG00000114779	Mycoplasma pneumonia	Infection	All other diseases	0.232	4.79E-1
ABHD14B	ENSG00000114779	Mycoplasma pneumonia	Infection	Class	-0.348	3.95E-1
ABHD14B	ENSG00000114779	Mycoplasma pneumonia	Infection	Healthy	1.509	1.52E-6
ABHD14B	ENSG00000114779	Systemic sclerosis	Autoimmune	All other diseases	0.502	1.36E-3
ABHD14B	ENSG00000114779	Systemic sclerosis	Autoimmune	Class	-0.163	5.09E-1
ABHD14B	ENSG00000114779	Systemic sclerosis	Autoimmune	Healthy	1.259	1.69E-17
ABHD14B	ENSG00000114779	Multiple sclerosis	Autoimmune	All other diseases	-0.957	2.07E-24
ABHD14B	ENSG00000114779	Multiple sclerosis	Autoimmune	Class	-1.967	9.30E-69
ABHD14B	ENSG00000114779	Multiple sclerosis	Autoimmune	Healthy	-0.019	8.82E-1
ABHD14B	ENSG00000114779	Breast cancer	Cancer	All other diseases	-0.264	3.20E-2
ABHD14B	ENSG00000114779	Breast cancer	Cancer	Class	-0.095	4.16E-1
ABHD14B	ENSG00000114779	Breast cancer	Cancer	Healthy	0.621	1.53E-9
ABHD14B	ENSG00000114779	Sjögrens syndrome	Autoimmune	All other diseases	0.527	1.94E-3
ABHD14B	ENSG00000114779	Sjögrens syndrome	Autoimmune	Class	-0.061	8.04E-1
ABHD14B	ENSG00000114779	Sjögrens syndrome	Autoimmune	Healthy	1.496	2.09E-20
ABHD14B	ENSG00000114779	Systemic lupus erythematosus	Autoimmune	All other diseases	0.720	2.56E-6
ABHD14B	ENSG00000114779	Systemic lupus erythematosus	Autoimmune	Class	0.340	6.90E-2
ABHD14B	ENSG00000114779	Systemic lupus erythematosus	Autoimmune	Healthy	2.050	4.61E-21
ABHD14B	ENSG00000114779	Myositis	Autoimmune	All other diseases	1.484	1.09E-54
ABHD14B	ENSG00000114779	Myositis	Autoimmune	Class	1.115	1.79E-20
ABHD14B	ENSG00000114779	Myositis	Autoimmune	Healthy	2.216	1.40E-90
ABHD14B	ENSG00000114779	Rheumatoid arthritis	Autoimmune	All other diseases	1.605	2.20E-23
ABHD14B	ENSG00000114779	Rheumatoid arthritis	Autoimmune	Class	1.121	2.50E-9
ABHD14B	ENSG00000114779	Rheumatoid arthritis	Autoimmune	Healthy	2.190	8.86E-36
ABHD14B	ENSG00000114779	Acute myeloid leukemia	Cancer	All other diseases	-0.517	2.46E-2
ABHD14B	ENSG00000114779	Acute myeloid leukemia	Cancer	Class	-0.298	9.26E-2
ABHD14B	ENSG00000114779	Acute myeloid leukemia	Cancer	Healthy	0.406	6.39E-2
ABHD14B	ENSG00000114779	Pediatric kidney tumor	Pediatric	All other diseases	1.123	7.90E-2
ABHD14B	ENSG00000114779	Pediatric kidney tumor	Pediatric	Class	0.707	6.23E-1
ABHD14B	ENSG00000114779	Pediatric kidney tumor	Pediatric	Healthy	2.423	6.79E-4
ABHD14B	ENSG00000114779	Viral hepatitis related cirrhosis	Metabolic	All other diseases	0.329	6.80E-2
ABHD14B	ENSG00000114779	Viral hepatitis related cirrhosis	Metabolic	Class	0.660	3.60E-5
ABHD14B	ENSG00000114779	Viral hepatitis related cirrhosis	Metabolic	Healthy	1.244	7.85E-12
ABHD14B	ENSG00000114779	Pediatric lymphoma	Pediatric	All other diseases	1.666	1.19E-2
ABHD14B	ENSG00000114779	Pediatric lymphoma	Pediatric	Class	1.414	2.35E-1
ABHD14B	ENSG00000114779	Pediatric lymphoma	Pediatric	Healthy	2.982	2.52E-4
ABHD14B	ENSG00000114779	Pediatric diffuse astrocytic and oligodendro. tumor	Pediatric	All other diseases	0.978	1.63E-2
ABHD14B	ENSG00000114779	Pediatric diffuse astrocytic and oligodendro. tumor	Pediatric	Class	0.525	5.49E-1
ABHD14B	ENSG00000114779	Pediatric diffuse astrocytic and oligodendro. tumor	Pediatric	Healthy	2.269	1.50E-6
ABHD14B	ENSG00000114779	Pediatric bone tumor	Pediatric	All other diseases	-0.006	9.94E-1
ABHD14B	ENSG00000114779	Pediatric bone tumor	Pediatric	Class	-0.682	7.26E-1
ABHD14B	ENSG00000114779	Pediatric bone tumor	Pediatric	Healthy	0.732	2.86E-1
ABHD14B	ENSG00000114779	Pediatric CNS tumor	Pediatric	All other diseases	1.629	4.98E-4
ABHD14B	ENSG00000114779	Pediatric CNS tumor	Pediatric	Class	1.222	1.74E-1
ABHD14B	ENSG00000114779	Pediatric CNS tumor	Pediatric	Healthy	3.262	4.08E-7
ABHD14B	ENSG00000114779	Pediatric long COVID	Pediatric	All other diseases	3.054	2.99E-16
ABHD14B	ENSG00000114779	Pediatric long COVID	Pediatric	Class	3.126	2.69E-8
ABHD14B	ENSG00000114779	Pediatric long COVID	Pediatric	Healthy	4.504	1.89E-11
ABHD14B	ENSG00000114779	Pediatric retinoblastoma	Pediatric	All other diseases	-0.954	2.08E-1
ABHD14B	ENSG00000114779	Pediatric retinoblastoma	Pediatric	Class	-1.216	3.12E-1
ABHD14B	ENSG00000114779	Pediatric retinoblastoma	Pediatric	Healthy	0.889	5.10E-2
ABHD14B	ENSG00000114779	Pediatric neuroblastoma	Pediatric	All other diseases	0.856	6.26E-2
ABHD14B	ENSG00000114779	Pediatric neuroblastoma	Pediatric	Class	0.444	6.15E-1
ABHD14B	ENSG00000114779	Pediatric neuroblastoma	Pediatric	Healthy	2.565	8.29E-5
ABHD14B	ENSG00000114779	Schizophrenia	Psychiatric	All other diseases	-0.910	2.09E-9
ABHD14B	ENSG00000114779	Schizophrenia	Psychiatric	Class	0.223	5.54E-1
ABHD14B	ENSG00000114779	Schizophrenia	Psychiatric	Healthy	0.122	3.25E-1
ABHD14B	ENSG00000114779	Pediatric systemic inflammatory disease	Pediatric	All other diseases	-2.648	4.42E-28
ABHD14B	ENSG00000114779	Pediatric systemic inflammatory disease	Pediatric	Class	-3.735	2.42E-24
ABHD14B	ENSG00000114779	Pediatric systemic inflammatory disease	Pediatric	Healthy	-1.414	3.99E-7
ABHD14B	ENSG00000114779	Bipolar disorder	Psychiatric	All other diseases	-1.242	4.38E-8
ABHD14B	ENSG00000114779	Bipolar disorder	Psychiatric	Class	-0.265	6.76E-1
ABHD14B	ENSG00000114779	Bipolar disorder	Psychiatric	Healthy	-0.230	2.97E-1
ABHD14B	ENSG00000114779	Pediatric sarcoma	Pediatric	All other diseases	0.460	6.44E-1
ABHD14B	ENSG00000114779	Pediatric sarcoma	Pediatric	Class	0.258	9.43E-1
ABHD14B	ENSG00000114779	Pediatric sarcoma	Pediatric	Healthy	1.786	2.46E-2
ABHD14B	ENSG00000114779	Acute venous thromboembolism	Cardiovascular	All other diseases	-0.423	1.07E-1
ABHD14B	ENSG00000114779	Acute venous thromboembolism	Cardiovascular	Class	0.439	6.53E-3
ABHD14B	ENSG00000114779	Acute venous thromboembolism	Cardiovascular	Healthy	0.484	3.97E-3
ABHD14B	ENSG00000114779	Prostate cancer	Cancer	All other diseases	0.021	8.79E-1
ABHD14B	ENSG00000114779	Prostate cancer	Cancer	Class	-0.063	6.13E-1
ABHD14B	ENSG00000114779	Prostate cancer	Cancer	Healthy	0.888	8.75E-16
ABHD14B	ENSG00000114779	Previous venous thromboembolism	Cardiovascular	All other diseases	-0.778	3.04E-7
ABHD14B	ENSG00000114779	Previous venous thromboembolism	Cardiovascular	Class	-0.011	9.37E-1
ABHD14B	ENSG00000114779	Previous venous thromboembolism	Cardiovascular	Healthy	0.051	6.90E-1
ABHD14B	ENSG00000114779	Acute coronary syndrome	Cardiovascular	All other diseases	-0.368	1.12E-1
ABHD14B	ENSG00000114779	Acute coronary syndrome	Cardiovascular	Class	0.503	3.59E-4
ABHD14B	ENSG00000114779	Acute coronary syndrome	Cardiovascular	Healthy	0.243	1.78E-1
ABHD14B	ENSG00000114779	Small intestine neuroendocrine tumor	Cancer	All other diseases	-0.477	5.13E-2
ABHD14B	ENSG00000114779	Small intestine neuroendocrine tumor	Cancer	Class	-0.303	1.89E-1
ABHD14B	ENSG00000114779	Small intestine neuroendocrine tumor	Cancer	Healthy	0.577	1.96E-4
ABHD14B	ENSG00000114779	Abdominal aortic aneurysm	Cardiovascular	All other diseases	-1.375	1.31E-20
ABHD14B	ENSG00000114779	Abdominal aortic aneurysm	Cardiovascular	Class	-0.684	7.04E-11
ABHD14B	ENSG00000114779	Abdominal aortic aneurysm	Cardiovascular	Healthy	-0.422	8.25E-4
ABHD14B	ENSG00000114779	Coronary artery calcification	Cardiovascular	All other diseases	-0.773	1.78E-19
ABHD14B	ENSG00000114779	Coronary artery calcification	Cardiovascular	Class	0.021	7.76E-1
ABHD14B	ENSG00000114779	Coronary artery calcification	Cardiovascular	Healthy	0.094	1.08E-1
ABHD14B	ENSG00000114779	Diffuse large B-cell lymphoma	Cancer	All other diseases	-0.279	2.82E-1
ABHD14B	ENSG00000114779	Diffuse large B-cell lymphoma	Cancer	Class	-0.073	7.67E-1
ABHD14B	ENSG00000114779	Diffuse large B-cell lymphoma	Cancer	Healthy	0.513	9.39E-4
ABHD14B	ENSG00000114779	Breast ductal carcinoma in situ	Cancer	All other diseases	-0.470	5.20E-2
ABHD14B	ENSG00000114779	Breast ductal carcinoma in situ	Cancer	Class	-0.250	2.59E-1
