length	ct_index	w_count	hard0	hard30	hard50	all_count
66	4	8.4694	0	0	0	424
66	5	16.1764	1	1	0	424
66	6	33.5317	2	1	1	424
66	7	77.4791	136	93	7	424
66	8	14.2634	3	3	2	424
66	9	26.6684	8	1	0	424
66	10	17.1504	1	1	0	424
67	1	45.6661	5	4	2	461
67	2	17.1270	2	2	2	461
67	3	186.2169	293	244	144	461
67	4	8.8737	0	0	0	461
67	5	21.9440	3	3	3	461
67	6	38.1890	2	1	1	461
67	7	85.5884	151	101	5	461
67	8	14.3295	0	0	0	461
67	9	26.7677	5	1	1	461
67	10	16.2982	0	0	0	461
68	1	46.7574	5	2	1	479
68	2	17.0097	2	1	1	479
68	3	183.7954	281	238	128	479
68	4	10.0116	1	1	0	479
68	5	22.3094	1	1	1	479
68	6	39.8562	1	0	0	479
68	7	94.0660	180	113	12	479
68	8	15.8358	1	1	1	479
68	9	29.8413	5	3	3	479
68	10	19.5174	2	2	2	479
69	1	59.5588	6	4	3	587
69	2	19.1615	0	0	0	587
69	3	232.5783	372	303	177	587
69	4	13.1452	1	1	1	587
69	5	24.8743	1	1	1	587
69	6	48.7269	2	2	1	587
69	7	112.9317	194	143	11	587
69	8	18.6220	1	1	1	587
69	9	35.2536	8	4	2	587
69	10	22.1471	2	1	1	587
70	1	73.7105	8	6	1	751
70	2	30.0981	4	4	4	751
70	3	292.1869	478	397	203	751
70	4	16.1833	0	0	0	751
70	5	32.6544	4	3	1	751
70	6	60.6879	6	5	3	751
70	7	141.9392	237	166	20	751
70	8	25.4264	2	2	2	751
70	9	47.1095	9	3	2	751
70	10	31.0043	3	2	2	751
71	1	82.9834	7	2	2	831
71	2	30.3368	1	1	0	831
71	3	341.6115	573	464	268	831
71	4	16.7274	0	0	0	831
71	5	35.3644	2	2	1	831
71	6	66.7204	3	3	2	831
71	7	146.4320	234	150	9	831
71	8	26.2027	0	0	0	831
71	9	51.1122	11	3	1	831
71	10	33.5090	0	0	0	831
72	1	70.4106	12	6	4	719
72	2	24.6506	2	2	2	719
72	3	292.8791	464	394	228	719
72	4	14.9791	2	2	1	719
72	5	31.3543	2	2	1	719
72	6	58.1627	4	4	1	719
72	7	136.1430	226	160	15	719
72	8	23.0855	1	1	1	719
72	9	40.3007	4	1	1	719
72	10	27.0341	2	1	1	719
73	1	78.1096	9	2	1	781
73	2	27.3255	2	2	2	781
73	3	307.2378	490	410	223	781
73	4	15.0686	0	0	0	781
73	5	34.4473	1	1	1	781
