comparison,auc_ref,auc_alt,delta,var_ref,var_alt,cov_refalt,cor_auc,se,z,p_unadj,lower_unadj,upper_unadj,lower_adj,upper_adj,boot_lower_unadj,boot_upper_unadj,boot_lower_adj,boot_upper_adj,p_bonferroni,p_fdr,ci_unadj,ci_adj,ci_boot_unadj,ci_boot_adj
DELFI-Pro vs DELFI,0.9087301587301587,0.865079365079365,0.04365079365079372,6.225396094801074e-4,9.076560157639923e-4,4.1505430744590775e-4,0.5521547157636617,0.02645915740064835,1.6497423931468094,0.09899563555673081,-0.008208201915753464,0.0955097892173409,-0.015654833917148094,0.10295642121873552,-0.00515873015873003,0.1,-0.0117261904761905,0.107938988095238,0.19799127111346163,0.09899563555673081,0.044 (-0.008 to 0.096),0.044 (-0.016 to 0.103),0.044 (-0.005 to 0.100),0.044 (-0.012 to 0.108)
DELFI-Pro vs Proteomics,0.9087301587301587,0.8462301587301587,0.0625,6.225396094801074e-4,0.001192684200681687,4.4311529397758083e-4,0.5142455144795874,0.030479390121959996,2.05056596440785,0.04030923374930418,0.0027614930902125356,0.12223850690978746,-0.005816588155096392,0.1308165881550964,0.00197916666666667,0.123015873015873,-0.00437003968253966,0.134923115079365,0.08061846749860836,0.08061846749860836,0.062 (0.003 to 0.122),0.062 (-0.006 to 0.131),0.062 (0.002 to 0.123),0.062 (-0.004 to 0.135)
